company_permalink,funding_round_permalink,funding_round_type,raised_amount_usd,name,homepage_url,category_list,status,country_code,state_code,primary_sector,main_sector,count_main_Sec,total_amt_invst_main_Sec
/organization/made-com,/funding-round/350da83566d70fe8bc21e4c07f758b63,venture,9278918.0,made.com,http://www.made.com,Design|E-Commerce|Furniture|Home & Garden,operating,GBR,H9,Design,Automotive & Sports,16,167051565
/organization/autoquake,/funding-round/067d143de46ec298cfa1893682f9911a,venture,11890000.0,Autoquake,http://www.autoquake.com,Automotive|Cars|E-Commerce|Insurance|Internet|Retail|Services,acquired,GBR,H9,Automotive,Automotive & Sports,16,167051565
/organization/autoquake,/funding-round/4c8372dfdea687c5f5fbab39b3e44dab,venture,6000000.0,Autoquake,http://www.autoquake.com,Automotive|Cars|E-Commerce|Insurance|Internet|Retail|Services,acquired,GBR,H9,Automotive,Automotive & Sports,16,167051565
/organization/autoquake,/funding-round/721aefa6f7e5bc71eb9d744359941958,venture,5755376.0,Autoquake,http://www.autoquake.com,Automotive|Cars|E-Commerce|Insurance|Internet|Retail|Services,acquired,GBR,H9,Automotive,Automotive & Sports,16,167051565
/organization/autoquake,/funding-round/a4d5080cbda34c2ef4295d8fbe4e9ad5,venture,11911764.0,Autoquake,http://www.autoquake.com,Automotive|Cars|E-Commerce|Insurance|Internet|Retail|Services,acquired,GBR,H9,Automotive,Automotive & Sports,16,167051565
/organization/carwow,/funding-round/76b8bfeb7ef05fb7c0be2b9a70e7d2ed,venture,7230241.0,Carwow,http://www.carwow.co.uk,Automotive|Consumer Internet|Curated Web,operating,GBR,H9,Automotive,Automotive & Sports,16,167051565
/organization/chargemaster,/funding-round/7cd25bca401de5477ff2a79f31209406,venture,5133089.0,Chargemaster,http://www.chargemasterplc.com,Automotive|Electric Vehicles|Infrastructure,operating,GBR,A5,Automotive,Automotive & Sports,16,167051565
/organization/light-blue-optics,/funding-round/320fcbe59497214f44cf8bf84c073903,venture,15000000.0,Light Blue Optics,http://www.lightblueoptics.com,Automotive|Consumer Electronics|Hardware + Software|Lasers,operating,GBR,C3,Automotive,Automotive & Sports,16,167051565
/organization/light-blue-optics,/funding-round/e072b4cca216b8aed4deec6aeb1053f5,venture,13000000.0,Light Blue Optics,http://www.lightblueoptics.com,Automotive|Consumer Electronics|Hardware + Software|Lasers,operating,GBR,C3,Automotive,Automotive & Sports,16,167051565
/organization/prodrive,/funding-round/6e997bdaeaf11622a4522b493cb5d01d,venture,9345794.0,Prodrive,http://www.prodrive.com,Automotive,operating,GBR,K2,Automotive,Automotive & Sports,16,167051565
/organization/streetcar,/funding-round/c8296d1dd3529cf84b85324c4e0c3b3e,venture,12430126.0,Streetcar,http://www.streetcar.co.uk,Automotive,acquired,GBR,,Automotive,Automotive & Sports,16,167051565
/organization/yasa-motors,/funding-round/efcaffce05cb7a252310c45f25ef9382,venture,7576257.0,YASA Motors,http://yasamotors.com,Automotive,operating,GBR,K2,Automotive,Automotive & Sports,16,167051565
/organization/greenroad-technologies,/funding-round/02e891e7e3e9a18f06a6cdfca142a1d7,venture,13000000.0,GreenRoad Technologies,http://www.greenroad.com,Cars|Clean Technology|Diving|Green|Internet|Software,operating,GBR,H9,Cars,Automotive & Sports,16,167051565
/organization/greenroad-technologies,/funding-round/19dc7a4e54c5e83b94bd845c2f7f014a,venture,14500000.0,GreenRoad Technologies,http://www.greenroad.com,Cars|Clean Technology|Diving|Green|Internet|Software,operating,GBR,H9,Cars,Automotive & Sports,16,167051565
/organization/greenroad-technologies,/funding-round/bc8b878082ee90258328271e138e72fb,venture,10000000.0,GreenRoad Technologies,http://www.greenroad.com,Cars|Clean Technology|Diving|Green|Internet|Software,operating,GBR,H9,Cars,Automotive & Sports,16,167051565
/organization/greenroad-technologies,/funding-round/d786d56c4c94a68f65e98ac9024fe7fb,venture,15000000.0,GreenRoad Technologies,http://www.greenroad.com,Cars|Clean Technology|Diving|Green|Internet|Software,operating,GBR,H9,Cars,Automotive & Sports,16,167051565
/organization/abcodia,/funding-round/3d20c23d203134ed86c0d1b2bec288b2,venture,8259067.0,Abcodia,http://abcodia.com,Biotechnology,operating,GBR,H9,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/acacia-pharma,/funding-round/26eac8a3875e1a7bc68d36ceb7a71b05,venture,10000000.0,Acacia Pharma,http://www.acaciapharma.com,Biotechnology,operating,GBR,C3,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/apitope,/funding-round/2efce6629e8d414150d6ea3051688b6a,venture,13456610.0,Apitope,http://apitope.com/,Biotechnology,operating,GBR,B7,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/aquapharm-biodiscovery,/funding-round/9596210901c76ba1bc8d6400662dd3c0,venture,6400000.0,Aquapharm Biodiscovery,http://www.aquapharm.co.uk,Biotechnology,closed,GBR,,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/aquapharm-biodiscovery,/funding-round/aa7ccd58fc7608eb17c57f4029191e1a,venture,8216758.0,Aquapharm Biodiscovery,http://www.aquapharm.co.uk,Biotechnology,closed,GBR,,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/autifony-therapeutics,/funding-round/025f75dca5c2bb0e8c319543c014171e,venture,5500000.0,Autifony Therapeutics,http://www.autifony.com,Biotechnology,operating,GBR,H9,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/autifony-therapeutics,/funding-round/984fe5154fae7125fbf1729559c29412,venture,12336350.0,Autifony Therapeutics,http://www.autifony.com,Biotechnology,operating,GBR,H9,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/bourn-hall-clinic,/funding-round/af235289b57e89a862b59834568f4bcc,venture,5303380.0,Bourn Hall Clinic,http://bourn-hall-clinic.co.uk,Biotechnology,operating,GBR,C3,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/cambridge-epigenetix,/funding-round/d85d8b9e1a0f1118d0be0663be43e2c5,venture,5500000.0,Cambridge Epigenetix,http://www.cambridge-epigenetix.com,Biotechnology|Health Diagnostics,operating,GBR,C3,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/cantab-biopharmaceuticals,/funding-round/24fe8663076289dc9f17e7bc5408cac9,venture,8100000.0,Cantab Biopharmaceuticals,http://www.cantabbio.com,Biotechnology,operating,GBR,C3,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/cell-medica,/funding-round/22abaa6b1f9eaba5d02899840066f1f4,venture,7290000.0,Cell Medica,http://www.cellmedica.co.uk,Biotechnology,operating,GBR,H9,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/cellcentric,/funding-round/cc8c7c7df2e8a56cd8a69de1497830ea,venture,6515581.0,CellCentric,http://cellcentric.com,Biotechnology,operating,GBR,C3,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/cmp-therapeutics,/funding-round/c6c3a01898d716640b60f4a2a94ae116,venture,5700219.0,CMP Therapeutics,http://www.cmptherapeutics.com,Biotechnology,closed,GBR,F8,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/crescendo-biologics,/funding-round/e953f738cecbd5774d3f5f591262dbdb,venture,7300000.0,Crescendo Biologics,http://www.crescendobiologics.com,Biotechnology,operating,GBR,C3,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/diurnal,/funding-round/da604d040d03ca1d18ea8ac5785cc69a,venture,10104242.0,Diurnal,http://www.diurnal.co.uk,Biotechnology,operating,GBR,X5,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/eusa-pharma,/funding-round/09af5eff34608eac27040925565f57e6,venture,13970000.0,EUSA Pharma,http://www.eusapharma.com,Biotechnology,acquired,GBR,K2,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/eusa-pharma,/funding-round/1a680e99bceab2d32fc6dc4c9406010a,venture,9100000.0,EUSA Pharma,http://www.eusapharma.com,Biotechnology,acquired,GBR,K2,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/eusa-pharma,/funding-round/f2a769a1468c2d4a8585e8abf31ef2ed,venture,12530000.0,EUSA Pharma,http://www.eusapharma.com,Biotechnology,acquired,GBR,K2,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/exco-intouch,/funding-round/11b1a940c0fafb0fc1ad42ce2522e34a,venture,5000000.0,Exco InTouch,http://www.excointouch.com,Biotechnology,operating,GBR,J8,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/f-star-biotechnologische-forschungs-und-entwicklungsges-m-b-h,/funding-round/3d9741e67d136fff7db3c41a819ac959,venture,8252906.0,F-star Biotechnology Limited,http://www.f-star.com,Biotechnology|Pharmaceuticals,operating,GBR,C3,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/f-star-biotechnologische-forschungs-und-entwicklungsges-m-b-h,/funding-round/3e03faaa213dabe038baf623136eaefa,venture,9400000.0,F-star Biotechnology Limited,http://www.f-star.com,Biotechnology|Pharmaceuticals,operating,GBR,C3,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/f-star-biotechnologische-forschungs-und-entwicklungsges-m-b-h,/funding-round/7cc9fa2e5ce146d1408ee9d1fa6f2070,venture,11480000.0,F-star Biotechnology Limited,http://www.f-star.com,Biotechnology|Pharmaceuticals,operating,GBR,C3,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/f2g,/funding-round/837ca202d630287eefb3c196b46a8bb7,venture,11741756.0,F2G,http://www.f2g.com,Biotechnology,operating,GBR,I2,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/funxional-therapeutics,/funding-round/7e66e09af00b332f16dd282748e50bb7,venture,12200000.0,Funxional Therapeutics,http://www.funxionaltherapeutics.com,Biotechnology,operating,GBR,C3,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/green-biologics,/funding-round/1bc91ec79bf61534c5ad644c1382bcf2,venture,6100000.0,Green Biologics,http://www.greenbiologics.com,Biotechnology,operating,GBR,K2,Biotechnology,Cleantech / Semiconductors,128,1150139665
/organization/green-biologics,/funding-round/f027bcdd2a4602fbd0e591784fcb2841,venture,5118945.0,Green Biologics,http://www.greenbiologics.com,Biotechnology,operating,GBR,K2,Biotechnology,Cleantech / Semiconductors,128,1150139665
