company_permalink,funding_round_permalink,funding_round_type,raised_amount_usd,name,homepage_url,category_list,status,country_code,state_code,primary_sector,main_sector,count_main_Sec,total_amt_invst_main_Sec
/organization/telecis,/funding-round/0091d391efe0ba236a8ffc9b307a0758,venture,10000000.0,TeleCIS Wireless,http://www.telecis.com,Semiconductors,acquired,USA,CA,Semiconductors,Cleantech / Semiconductors,2300,21206628192
/organization/telegent-systems,/funding-round/442d301f43a38010a6866ce159d66b6e,venture,15000000.0,Telegent Systems,http://www.telegentsystems.com,Semiconductors,acquired,USA,CA,Semiconductors,Cleantech / Semiconductors,2300,21206628192
/organization/tensorcom,/funding-round/0bd48f7c0fb67043a949e6af3d3d9dd9,venture,5000000.0,Tensorcom,http://tensorcom.com,Semiconductors,closed,USA,CA,Semiconductors,Cleantech / Semiconductors,2300,21206628192
/organization/tensorcom,/funding-round/c4ab87bfd2f8c0bdf656479afe28e841,venture,9000000.0,Tensorcom,http://tensorcom.com,Semiconductors,closed,USA,CA,Semiconductors,Cleantech / Semiconductors,2300,21206628192
/organization/tensorcom,/funding-round/d552fc10cc0b542db3b5422889a89a94,venture,5000000.0,Tensorcom,http://tensorcom.com,Semiconductors,closed,USA,CA,Semiconductors,Cleantech / Semiconductors,2300,21206628192
/organization/teranetics,/funding-round/546cbbb3999fa7752fcaeed3f3a76642,venture,7800000.0,Teranetics,http://www.teranetics.com,Semiconductors,acquired,USA,CA,Semiconductors,Cleantech / Semiconductors,2300,21206628192
/organization/teranetics,/funding-round/ba36c587119c227d4353cd268cd896a6,venture,10247100.0,Teranetics,http://www.teranetics.com,Semiconductors,acquired,USA,CA,Semiconductors,Cleantech / Semiconductors,2300,21206628192
/organization/tessera-technologies,/funding-round/477d3d208ec3e1b73330e8805f68a68a,venture,5180000.0,Tessera Technologies,http://tessera.com,Semiconductors,ipo,USA,CA,Semiconductors,Cleantech / Semiconductors,2300,21206628192
/organization/texas-instruments,/funding-round/4706d0854ba7f78d72945ca90a395c34,venture,5500000.0,Texas Instruments,http://www.ti.com,Semiconductors,ipo,USA,TX,Semiconductors,Cleantech / Semiconductors,2300,21206628192
/organization/texas-instruments,/funding-round/9d2f896b8762d65b2115bab35e132b09,venture,10000000.0,Texas Instruments,http://www.ti.com,Semiconductors,ipo,USA,TX,Semiconductors,Cleantech / Semiconductors,2300,21206628192
/organization/texas-instruments,/funding-round/ed4a266e0e0854e8ae61dbea0f6ca64a,venture,10000000.0,Texas Instruments,http://www.ti.com,Semiconductors,ipo,USA,TX,Semiconductors,Cleantech / Semiconductors,2300,21206628192
/organization/therma-wave,/funding-round/6fd2e9342534ccc4b5e9b920092d183b,venture,10060000.0,Therma-Wave,,Semiconductors,operating,USA,CA,Semiconductors,Cleantech / Semiconductors,2300,21206628192
/organization/tilera,/funding-round/06695b1f6eaf3b664be09dcc9798ade0,venture,15000000.0,Tilera,http://www.tilera.com,Semiconductors,acquired,USA,CA,Semiconductors,Cleantech / Semiconductors,2300,21206628192
